Cum Price Returns,,,
,,,
,DVN,DJUSEN,WTI
6/4/2019,1,1,1
6/5/2019,0.98,0.99,0.97
6/6/2019,0.99,1.00,0.98
6/7/2019,0.99,1.01,1.01
6/10/2019,1.01,1.01,1.00
6/11/2019,1.00,1.01,1.00
6/12/2019,0.98,0.99,0.96
6/13/2019,1.01,1.01,0.98
6/14/2019,1.00,1.00,0.98
6/17/2019,1.02,1.01,0.97
6/18/2019,1.04,1.02,1.01
6/19/2019,1.04,1.02,1.01
6/20/2019,1.08,1.04,1.06
6/21/2019,1.09,1.05,1.07
6/24/2019,1.08,1.04,1.08
6/25/2019,1.08,1.03,1.08
6/26/2019,1.11,1.05,1.11
6/27/2019,1.09,1.04,1.11
6/28/2019,1.10,1.06,1.09
7/1/2019,1.12,1.06,1.10
7/2/2019,1.06,1.04,1.05
7/3/2019,1.06,1.04,1.07
7/5/2019,1.08,1.04,1.08
7/8/2019,1.08,1.05,1.08
7/9/2019,1.08,1.05,1.08
7/10/2019,1.11,1.06,1.13
7/11/2019,1.11,1.06,1.13
7/12/2019,1.11,1.07,1.13
7/15/2019,1.07,1.05,1.11
7/16/2019,1.03,1.04,1.08
7/17/2019,1.00,1.03,1.06
7/18/2019,0.99,1.03,1.03
7/19/2019,1.02,1.03,1.04
7/22/2019,1.02,1.04,1.05
7/23/2019,1.01,1.04,1.06
7/24/2019,1.02,1.05,1.04
7/25/2019,0.99,1.03,1.05
7/26/2019,0.99,1.03,1.05
7/29/2019,0.99,1.02,1.06
7/30/2019,1.04,1.04,1.09
7/31/2019,1.04,1.03,1.10
8/1/2019,0.97,1.01,1.01
8/2/2019,0.97,0.99,1.04
8/5/2019,0.93,0.96,1.02
8/6/2019,0.94,0.96,1.00
8/7/2019,0.93,0.95,0.96
8/8/2019,0.94,0.98,0.98
8/9/2019,0.93,0.97,1.02
8/12/2019,0.91,0.95,1.03
8/13/2019,0.91,0.96,1.07
8/14/2019,0.85,0.92,1.03
8/15/2019,0.83,0.92,1.02
8/16/2019,0.87,0.93,1.03
8/19/2019,0.90,0.95,1.05
8/20/2019,0.90,0.94,1.05
8/21/2019,0.90,0.95,1.04
8/22/2019,0.89,0.94,1.03
8/23/2019,0.84,0.91,1.01
8/26/2019,0.83,0.92,1.00
8/27/2019,0.82,0.91,1.03
8/28/2019,0.85,0.92,1.04
8/29/2019,0.87,0.94,1.06
8/30/2019,0.85,0.94,1.03
9/3/2019,0.85,0.93,1.01
9/4/2019,0.88,0.95,1.05
9/5/2019,0.91,0.96,1.05
9/6/2019,0.90,0.96,1.06
9/9/2019,0.95,0.98,1.08
9/10/2019,0.95,0.99,1.07
9/11/2019,0.96,1.00,1.04
9/12/2019,0.95,0.99,1.03
9/13/2019,0.97,1.00,1.03
9/16/2019,1.09,1.03,1.18
9/17/2019,1.03,1.02,1.11
9/18/2019,1.03,1.01,1.09
9/19/2019,1.01,1.01,1.09
9/20/2019,1.01,1.01,1.09
9/23/2019,1.00,1.01,1.10
9/24/2019,0.96,0.99,1.07
9/25/2019,0.96,0.99,1.06
9/26/2019,0.95,0.98,1.05
9/27/2019,0.94,0.98,1.05
9/30/2019,0.93,0.97,1.01
10/1/2019,0.90,0.95,1.00
10/2/2019,0.85,0.93,0.98
10/3/2019,0.88,0.94,0.98
10/4/2019,0.88,0.94,0.99
10/7/2019,0.85,0.93,0.99
10/8/2019,0.81,0.92,0.98
10/9/2019,0.82,0.93,0.98
10/10/2019,0.81,0.94,1.00
10/11/2019,0.82,0.95,1.02
10/14/2019,0.81,0.95,1.00
10/15/2019,0.81,0.95,0.99
10/16/2019,0.80,0.94,1.00
10/17/2019,0.79,0.94,1.01
10/18/2019,0.77,0.94,1.01
10/21/2019,0.78,0.95,1.00
10/22/2019,0.80,0.97,1.01
10/23/2019,0.83,0.97,1.05
10/24/2019,0.83,0.97,1.05
10/25/2019,0.83,0.98,1.06
10/28/2019,0.82,0.97,1.04
10/29/2019,0.83,0.97,1.04
