,Exchange_Ratio,WTI,CNAME
6/4/2019,0.34,$53.48,$10.79
6/5/2019,0.34,$51.68,$10.58
6/6/2019,0.34,$52.59,$10.64
6/7/2019,0.34,$53.99,$10.67
6/10/2019,0.34,$53.26,$10.85
6/11/2019,0.34,$53.27,$10.84
6/12/2019,0.33,$51.14,$10.58
6/13/2019,0.34,$52.28,$10.85
6/14/2019,0.34,$52.51,$10.70
6/17/2019,0.34,$51.93,$10.96
6/18/2019,0.35,$53.90,$11.17
6/19/2019,0.35,$53.76,$11.17
6/20/2019,0.36,$56.65,$11.65
6/21/2019,0.36,$57.43,$11.73
6/24/2019,0.35,$57.90,$11.59
6/25/2019,0.36,$57.83,$11.59
6/26/2019,0.37,$59.38,$11.93
6/27/2019,0.36,$59.43,$11.75
6/28/2019,0.36,$58.47,$11.84
7/1/2019,0.37,$59.09,$12.00
7/2/2019,0.36,$56.25,$11.43
7/3/2019,0.35,$57.34,$11.43
7/5/2019,0.36,$57.51,$11.58
7/8/2019,0.36,$57.66,$11.60
7/9/2019,0.36,$57.83,$11.66
7/10/2019,0.36,$60.43,$11.97
7/11/2019,0.36,$60.20,$11.90
7/12/2019,0.36,$60.21,$11.90
7/15/2019,0.35,$59.58,$11.48
7/16/2019,0.34,$57.62,$11.13
7/17/2019,0.34,$56.78,$10.77
7/18/2019,0.34,$55.30,$10.67
7/19/2019,0.34,$55.63,$10.94
7/22/2019,0.34,$56.22,$10.97
7/23/2019,0.34,$56.77,$10.88
7/24/2019,0.34,$55.88,$10.72
7/25/2019,0.33,$56.02,$10.34
7/26/2019,0.33,$56.20,$10.32
7/29/2019,0.33,$56.87,$10.32
7/30/2019,0.35,$58.05,$10.86
7/31/2019,0.35,$58.58,$10.91
8/1/2019,0.34,$53.95,$10.17
8/2/2019,0.34,$55.66,$10.12
8/5/2019,0.33,$54.69,$9.73
8/6/2019,0.33,$53.63,$9.79
8/7/2019,0.33,$51.09,$9.77
8/8/2019,0.33,$52.54,$9.88
8/9/2019,0.33,$54.50,$9.72
8/12/2019,0.33,$54.93,$9.50
8/13/2019,0.32,$57.10,$9.55
8/14/2019,0.31,$55.23,$8.90
8/15/2019,0.31,$54.47,$8.74
8/16/2019,0.32,$54.87,$9.11
8/19/2019,0.32,$56.21,$9.41
8/20/2019,0.33,$56.34,$9.44
8/21/2019,0.32,$55.68,$9.45
8/22/2019,0.32,$55.35,$9.31
8/23/2019,0.31,$54.17,$8.76
8/26/2019,0.31,$53.64,$8.72
8/27/2019,0.31,$54.93,$8.63
8/28/2019,0.31,$55.78,$8.86
8/29/2019,0.32,$56.71,$9.11
8/30/2019,0.31,$55.10,$8.89
9/3/2019,0.31,$53.94,$8.93
9/4/2019,0.32,$56.26,$9.23
9/5/2019,0.32,$56.30,$9.50
9/6/2019,0.32,$56.52,$9.44
9/9/2019,0.33,$57.85,$9.96
9/10/2019,0.33,$57.40,$9.93
9/11/2019,0.33,$55.75,$10.09
9/12/2019,0.33,$55.09,$9.93
9/13/2019,0.33,$54.85,$10.13
9/16/2019,0.37,$62.90,$11.37
9/17/2019,0.35,$59.34,$10.78
9/18/2019,0.35,$58.11,$10.71
9/19/2019,0.35,$58.13,$10.49
9/20/2019,0.35,$58.09,$10.55
9/23/2019,0.35,$58.64,$10.44
9/24/2019,0.34,$57.29,$9.99
9/25/2019,0.34,$56.49,$9.99
9/26/2019,0.33,$56.41,$9.87
9/27/2019,0.33,$55.91,$9.80
9/30/2019,0.33,$54.07,$9.31
10/1/2019,0.32,$53.62,$8.96
10/2/2019,0.32,$52.64,$8.53
10/3/2019,0.32,$52.45,$8.77
10/4/2019,0.32,$52.81,$8.75
10/7/2019,0.31,$52.75,$8.47
10/8/2019,0.30,$52.63,$8.09
10/9/2019,0.30,$52.59,$8.15
10/10/2019,0.30,$53.55,$8.06
10/11/2019,0.30,$54.70,$8.23
10/14/2019,0.29,$53.59,$8.11
10/15/2019,0.29,$52.81,$8.12
10/16/2019,0.29,$53.36,$7.99
10/17/2019,0.29,$53.93,$7.89
10/18/2019,0.28,$53.78,$7.66
10/21/2019,0.29,$53.31,$7.83
10/22/2019,0.29,$54.16,$8.00
10/23/2019,0.30,$55.97,$8.18
10/24/2019,0.30,$56.23,$8.24
10/25/2019,0.30,$56.66,$8.25
10/28/2019,0.30,$55.81,$8.09
10/29/2019,0.30,$55.54,$8.22
10/30/2019,0.29,$55.06,$7.78
10/31/2019,0.29,$54.18,$7.79
11/1/2019,0.29,$56.20,$8.13
11/4/2019,0.30,$56.54,$8.67
11/5/2019,0.30,$57.23,$8.83
11/6/2019,0.30,$56.35,$8.48
11/7/2019,0.30,$57.15,$8.71
11/8/2019,0.31,$57.24,$8.80
11/11/2019,0.31,$56.86,$8.65
11/12/2019,0.31,$56.80,$8.59
11/13/2019,0.30,$57.12,$8.30
11/14/2019,0.31,$56.77,$8.39
11/15/2019,0.31,$57.72,$8.67
11/18/2019,0.31,$57.05,$8.43
11/19/2019,0.30,$55.21,$8.25
11/20/2019,0.31,$57.11,$8.43
11/21/2019,0.31,$58.58,$8.75
11/22/2019,0.31,$57.77,$8.75
11/25/2019,0.32,$58.01,$8.73
11/26/2019,0.31,$58.41,$8.55
11/27/2019,0.31,$58.11,$8.65
11/29/2019,0.31,$55.17,$8.41
12/2/2019,0.31,$55.96,$8.38
12/3/2019,0.30,$56.10,$8.22
12/4/2019,0.31,$58.43,$8.60
12/5/2019,0.31,$58.43,$8.48
12/6/2019,0.32,$59.20,$8.89
12/9/2019,0.32,$59.02,$8.89
12/10/2019,0.32,$59.24,$9.00
12/11/2019,0.32,$58.76,$9.00
12/12/2019,0.33,$59.18,$9.21
12/13/2019,0.33,$60.07,$9.02
12/16/2019,0.33,$60.21,$9.16
12/17/2019,0.33,$60.94,$9.28
12/18/2019,0.34,$60.93,$9.49
12/19/2019,0.35,$61.22,$9.64
12/20/2019,0.35,$60.44,$9.78
12/23/2019,0.36,$60.52,$10.07
12/24/2019,0.36,$61.11,$10.19
12/26/2019,0.36,$61.68,$10.12
12/27/2019,0.35,$61.72,$9.88
12/30/2019,0.35,$61.68,$9.81
12/31/2019,0.36,$61.06,$9.98
1/2/2020,0.35,$61.18,$9.91
1/3/2020,0.36,$63.05,$10.03
1/6/2020,0.36,$63.27,$10.14
1/7/2020,0.36,$62.70,$10.17
1/8/2020,0.35,$59.61,$9.81
1/9/2020,0.36,$59.56,$9.93
1/10/2020,0.35,$59.04,$9.64
1/13/2020,0.35,$58.08,$9.74
1/14/2020,0.36,$58.23,$10.07
1/15/2020,0.36,$57.81,$10.08
1/16/2020,0.37,$58.52,$10.16
1/17/2020,0.36,$58.54,$9.93
1/21/2020,0.36,$58.34,$9.60
1/22/2020,0.35,$56.74,$9.33
1/23/2020,0.35,$55.59,$9.37
1/24/2020,0.35,$54.19,$9.20
1/27/2020,0.34,$53.14,$8.69
1/28/2020,0.34,$53.48,$8.73
1/29/2020,0.33,$53.33,$8.52
1/30/2020,0.33,$52.14,$8.64
1/31/2020,0.34,$51.56,$8.34
2/3/2020,0.33,$50.11,$8.14
2/4/2020,0.35,$49.61,$8.40
2/5/2020,0.36,$50.75,$8.96
2/6/2020,0.36,$50.95,$8.86
2/7/2020,0.36,$50.32,$8.80
2/10/2020,0.36,$49.57,$8.63
2/11/2020,0.36,$49.94,$8.69
2/12/2020,0.36,$51.17,$8.91
2/13/2020,0.36,$51.42,$8.92
2/14/2020,0.36,$52.05,$8.74
2/18/2020,0.35,$52.05,$8.49
2/19/2020,0.36,$53.29,$8.70
2/20/2020,0.35,$53.78,$8.48
2/21/2020,0.34,$53.38,$8.03
2/24/2020,0.32,$51.43,$7.34
2/25/2020,0.31,$49.90,$6.81
2/26/2020,0.30,$48.73,$6.40
2/27/2020,0.30,$47.09,$6.00
2/28/2020,0.30,$44.76,$6.22
3/2/2020,0.29,$46.75,$6.25
3/3/2020,0.29,$47.18,$6.05
3/4/2020,0.29,$46.78,$6.23
3/5/2020,0.30,$45.90,$6.11
3/6/2020,0.27,$41.28,$5.12
3/9/2020,0.19,$31.13,$3.21
3/10/2020,0.20,$34.36,$3.45
3/11/2020,0.19,$32.98,$3.22
3/12/2020,0.19,$31.50,$2.78
3/13/2020,0.22,$31.73,$3.33
3/16/2020,0.21,$28.70,$2.90
3/17/2020,0.17,$26.95,$2.47
3/18/2020,0.16,$20.37,$2.07
3/19/2020,0.18,$25.22,$2.51
3/20/2020,0.18,$22.43,$2.33
3/23/2020,0.19,$23.36,$2.37
3/24/2020,0.20,$24.01,$2.84
3/25/2020,0.18,$24.49,$2.74
3/26/2020,0.18,$22.60,$2.82
3/27/2020,0.16,$21.51,$2.41
3/30/2020,0.16,$20.09,$2.43
3/31/2020,0.17,$20.48,$2.65
4/1/2020,0.17,$20.31,$2.60
4/2/2020,0.18,$25.32,$2.98
4/3/2020,0.20,$28.34,$3.21
4/6/2020,0.21,$26.08,$3.37
4/7/2020,0.20,$23.63,$3.34
4/8/2020,0.21,$25.09,$3.60
4/9/2020,0.21,$22.76,$3.70
4/13/2020,0.22,$22.41,$3.73
4/14/2020,0.21,$20.11,$3.50
4/15/2020,0.20,$19.87,$3.33
4/16/2020,0.20,$19.87,$3.11
4/17/2020,0.20,$18.27,$3.54
4/20/2020,0.21,-$37.63,$3.52
4/21/2020,0.21,$10.01,$3.48
4/22/2020,0.22,$13.78,$3.73
4/23/2020,0.23,$16.50,$4.05
4/24/2020,0.23,$16.94,$4.03
4/27/2020,0.23,$12.78,$4.12
4/28/2020,0.23,$12.34,$4.20
4/29/2020,0.25,$15.06,$4.83
4/30/2020,0.26,$18.84,$4.77
5/1/2020,0.25,$19.78,$4.27
5/4/2020,0.24,$20.39,$4.37
5/5/2020,0.24,$24.56,$4.28
5/6/2020,0.25,$23.99,$4.40
5/7/2020,0.26,$23.55,$4.60
5/8/2020,0.26,$24.74,$4.86
5/11/2020,0.26,$24.14,$4.77
5/12/2020,0.26,$25.78,$4.75
5/13/2020,0.26,$25.29,$4.41
5/14/2020,0.26,$27.56,$4.46
5/15/2020,0.27,$29.43,$4.57
5/18/2020,0.27,$31.82,$5.02
5/19/2020,0.26,$32.50,$4.71
5/20/2020,0.26,$33.49,$4.75
5/21/2020,0.26,$33.92,$4.70
5/22/2020,0.26,$33.25,$4.65
5/26/2020,0.25,$34.35,$4.71
5/27/2020,0.25,$32.81,$4.76
5/28/2020,0.24,$33.71,$4.46
5/29/2020,0.22,$35.49,$4.14
6/1/2020,0.24,$35.44,$4.48
6/2/2020,0.24,$36.81,$4.65
6/3/2020,0.24,$37.29,$4.79
6/4/2020,0.24,$37.41,$4.87
6/5/2020,0.26,$39.55,$5.59
6/8/2020,0.27,$38.19,$6.03
6/9/2020,0.26,$38.94,$5.57
6/10/2020,0.25,$39.60,$5.23
6/11/2020,0.25,$36.34,$4.67
6/12/2020,0.26,$36.26,$4.90
6/15/2020,0.26,$37.12,$4.93
6/16/2020,0.26,$38.38,$5.09
6/17/2020,0.26,$37.96,$4.84
6/18/2020,0.26,$38.84,$4.96
6/19/2020,0.27,$39.75,$4.96
6/22/2020,0.26,$40.46,$4.86
6/23/2020,0.25,$40.37,$4.74
6/24/2020,0.24,$38.01,$4.31
6/25/2020,0.25,$38.72,$4.48
6/26/2020,0.24,$38.49,$4.19
6/29/2020,0.24,$39.70,$4.26
6/30/2020,0.24,$39.27,$4.34
7/1/2020,0.24,$39.82,$4.25
7/2/2020,0.24,$40.65,$4.30
7/6/2020,0.24,$40.63,$4.27
7/7/2020,0.23,$40.62,$3.96
7/8/2020,0.23,$40.90,$3.97
7/9/2020,0.22,$39.62,$3.75
7/10/2020,0.23,$40.55,$3.90
7/13/2020,0.22,$40.10,$3.81
7/14/2020,0.22,$40.29,$3.99
7/15/2020,0.23,$41.20,$4.11
7/16/2020,0.23,$40.75,$4.09
7/17/2020,0.22,$40.59,$3.94
7/20/2020,0.23,$40.81,$3.93
7/21/2020,0.24,$41.96,$4.35
7/22/2020,0.24,$41.90,$4.24
7/23/2020,0.24,$41.07,$4.17
7/24/2020,0.23,$41.29,$4.10
